PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
741506,Nadia,Nadia South,Durgapur B.O,GHOSH BROILER FARM PRIVATE LIMITED,U01611WB2023PTC261807,"C/O BHIM GHOSH, AT PO- CHHATINASOLE,Jhargram,West Midnapore,West Bengal,721506-India  West Midnapore West Bengal 721506 India",https://www.zaubacorp.com/GHOSH-BROILER-FARM-PRIVATE-LIMITED-U01611WB2023PTC261807
741157,Nadia,Nadia North,Bhurulia B.O,KASTODANGA GOAT FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC261847,"VILL & PO- KASTODANGA, PS HARINGHATA,KASTODANGA CHOWMATHA,Haringhata,Nadia,West Bengal,741257-India  Nadia West Bengal 741257 India",https://www.zaubacorp.com/KASTODANGA-GOAT-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC261847
743502,South 24 Parganas,South Presidency,Bamunia B.O,NABAMOSHAL FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC262019,"C/O RASHID VILL-BAGANAIT P.O-BHANGAR,24 PARGANAS  PS BHANGAR,Bhangar - I,South 24 Parganas,West Bengal,743502-India  South 24 Parganas West Bengal 743502 India",https://www.zaubacorp.com/NABAMOSHAL-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC262019
733127,South Dinajpur,West Dinajpur,Ajmatpur B.O,GREENGANGOTRI FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC262044,"C/O-KONA MONDAL,J.LNO-227,KHOTIAN NO-671, DAUR GANJ,Tapan,South Dinajpur,West Bengal,733127-India  South Dinajpur West Bengal 733127 India",https://www.zaubacorp.com/GREENGANGOTRI-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC262044
743329,North 24 Parganas,South Presidency,Jeliakhali Paschimkhanda B.O,JEEBIKA AGRO FED FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC262055,"C/O SUSHANTA BAIDYA DK,RAYPUR MILON MOR,Mathurapur - II,South 24 Parganas,West Bengal,743349-India  South 24 Parganas West Bengal 743349 India",https://www.zaubacorp.com/JEEBIKA-AGRO-FED-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC262055
700154,South 24 Parganas,South Presidency,Boral S.O,PESTOVERSE PRIVATE LIMITED,U01611WB2023PTC262056,"Flat No-1N, Holding No- 266 Banipara,P.O- Boral, PS- Narendrapur,South 24 Parganas,South 24 Parganas,West Bengal,700154-India  South 24 Parganas West Bengal 700154 India",https://www.zaubacorp.com/PESTOVERSE-PRIVATE-LIMITED-U01611WB2023PTC262056
733134,North Dinajpur,West Dinajpur,Baharail B.O,MAHABIR AGRO FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC262237,"J.LNO-186,KHOTIAN NO-2241,HIGHROAD KALITALA,RAIGANJ,Raiganj,North Dinajpur,West Bengal,733134-India  North Dinajpur West Bengal 733134 India",https://www.zaubacorp.com/MAHABIR-AGRO-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC262237
700099,Kolkata,Calcutta South,Kalikapur S.O,GREENY AGROTECH PRIVATE LIMITED,U01611WB2023PTC262272,"First Floor,Flat 1A,273 Purbalok,Kolkata,Kolkata,West Bengal,700099-India  Kolkata West Bengal 700099 India",https://www.zaubacorp.com/GREENY-AGROTECH-PRIVATE-LIMITED-U01611WB2023PTC262272
721507,West Midnapore,Midnapore,Jamda S.O (West Midnapore),JHARGRAM BAZKOM PRODUCER COMPANY LIMITED,U01611WB2023PTC262394,"House holding No. 627/426,Ward No. 12, Raghunathpur,Jhargram,West Midnapore,West Bengal,721507-India  West Midnapore West Bengal 721507 India",https://www.zaubacorp.com/JHARGRAM-BAZKOM-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC262394
743411,North 24 Parganas,Barasat,Basirhat Bazar S.O,AMDANGA FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC262577,"GADAMARAHAT, WEST DHANIA,MASUNDA,MARICHA,Beraberi,North 24 Parganas,West Bengal,743711-India  North 24 Parganas West Bengal 743711 India",https://www.zaubacorp.com/AMDANGA-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC262577
