PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
700067,Kolkata,Kolkata North,Lily Biscuit S.O,SIGNET MEDIA SERVICE PRIVATE LIMITED,U22130WB2008PTC125993,"Merlin Warden Lake View 104 Bidhan Nagar Road, 1st Floor   , Kolkata, West Bengal, India - 700067  Kolkata West Bengal 700067 India",https://www.zaubacorp.com/SIGNET-MEDIA-SERVICE-PRIVATE-LIMITED-U22130WB2008PTC125993
700061,Kolkata,Calcutta South,Jairampur S.O (Kolkata),MANTRAM BINODAN MEDIA KARYAKRAM LIMITED,U22130WB2010PLC141617,"180F,SARSUNA MAIN ROAD,CHATTERJEE PARA   , KOLKATA, West Bengal, India - 700061  KOLKATA West Bengal 700061 India",https://www.zaubacorp.com/MANTRAM-BINODAN-MEDIA-KARYAKRAM-LIMITED-U22130WB2010PLC141617
700059,North 24 Parganas,Kolkata East,Arjunpur B.O,RSD NEWS AGENCY PRIVATE LIMITED,U22130WB2010PTC141597,"I/I-22,ASWINI NAGAR BAGUIATI   , KOLKATA, West Bengal, India - 700059  KOLKATA West Bengal 700059 India",https://www.zaubacorp.com/RSD-NEWS-AGENCY-PRIVATE-LIMITED-U22130WB2010PTC141597
700055,North 24 Parganas,Kolkata East,Bangur Avenue S.O,SAMUH IMEDIA PRIVATE LIMITED,U22130WB2011PTC164721,"46 BANGUR AVENUE BLOCK D   , KOLKATA, West Bengal, India - 700055  KOLKATA West Bengal 700055 India",https://www.zaubacorp.com/SAMUH-IMEDIA-PRIVATE-LIMITED-U22130WB2011PTC164721
700079,North 24 Parganas,North Presidency,Italghacha S.O,BULA TV BROADCASTING PRIVATE LIMITED,U22130WB2011PTC165943,"9, SWAMI SARUPA SARANI P.O. ITALGACHI, DUM DUM   , KOLKATA, West Bengal, India - 700079  KOLKATA West Bengal 700079 India",https://www.zaubacorp.com/BULA-TV-BROADCASTING-PRIVATE-LIMITED-U22130WB2011PTC165943
700081,North 24 Parganas,North Presidency,Rajbari Colony S.O,INFOCARE (I) ENTERTAINMENT PRIVATE LIMITED,U22130WB2011PTC228684,"Holding No-108/38, 47, Jangalpur Road,   , Kolkata, West Bengal, India - 700081  Kolkata West Bengal 700081 India",https://www.zaubacorp.com/INFOCARE-I-ENTERTAINMENT-PRIVATE-LIMITED-U22130WB2011PTC228684
700082,Kolkata,Calcutta South,Haridevpur S.O,BEATNICKS MEDIA PRIVATE LIMITED,U22130WB2019PTC230383,"3RD FLOOR, FLAT-6,17 KALIPUR KANCHA ROAD,   , KOLKATA, West Bengal, India - 700082  KOLKATA West Bengal 700082 India",https://www.zaubacorp.com/BEATNICKS-MEDIA-PRIVATE-LIMITED-U22130WB2019PTC230383
700078,Kolkata,Calcutta South,Haltu S.O,WHISTLING PIPER PRIVATE LIMITED,U22130WB2019PTC230503,"252 C PATWARI ROAD, LP-134/53/8,KOLKATA   , KOLKATA, West Bengal, India - 700078  KOLKATA West Bengal 700078 India",https://www.zaubacorp.com/WHISTLING-PIPER-PRIVATE-LIMITED-U22130WB2019PTC230503
700125,North 24 Parganas,Barasat,Kadambagachi B.O,BAIDYA ENTERPRISE SERVICES PRIVATE LIMITED,U22130WB2019PTC231245,"704/2 Krishnanagar Road, Word No. 03 Noapara, Barasat, North 24 Parganas   , KOLKATA, West Bengal, India - 700125  KOLKATA West Bengal 700125 India",https://www.zaubacorp.com/BAIDYA-ENTERPRISE-SERVICES-PRIVATE-LIMITED-U22130WB2019PTC231245
700109,North 24 Parganas,North Presidency,Agarpara S.O,7 AWAKE NEWS PRIVATE LIMITED,U22130WB2019PTC233189,"SURYA KIRAN APPARTMENT, 106/F(5) NORTH STN ROAD (SHOP-1)   , KOLKATA, West Bengal, India - 700109  KOLKATA West Bengal 700109 India",https://www.zaubacorp.com/7-AWAKE-NEWS-PRIVATE-LIMITED-U22130WB2019PTC233189
700074,Kolkata,Kolkata North,Dumdum Road S.O,I BELIEVE BENGAL NEWS AND EDUCATION PRIVATE LIMITED,U22130WB2021PTC243974,"264,PRIVATE ROAD, SOUTH DUMDUM MOTIJHEEL,   , KOLKATA, West Bengal, India - 700074  KOLKATA West Bengal 700074 India",https://www.zaubacorp.com/I-BELIEVE-BENGAL-NEWS-AND-EDUCATION-PRIVATE-LIMITED-U22130WB2021PTC243974
